,name,place,description
45,rishikesh,Camping along Ganga,"Camping is an adventure sport and nature plays a very important role to add to the thrill of staying on a riverside. Settled in the foothills of the Himalayas and the River Ganga flowing, this is a perfect place to enjoy camping in India. Camps are set up on the banks of River Ganga. The camping sites are authorised and set in best scenery and are ideal to enjoy quality time with your family and friends.

There is only peace and serenity, no pollution and chaos. Enjoy the wonderful opportunity to reconnect with nature. Adventures in rishikesh are abundant as the river and mountain peaks surround the town which will calm your senses. Every person can enjoy in the beautiful natural surroundings. You can try yoga, meditation, trekking or other adventures. In addition to all these, there are a host of indoor games, and activities like beach volleyball and badminton."
46,rishikesh,Paragliding in Kunjapuri,"Rishikesh is not only about sacred Ganga and religious ashrams, but for adventure junkies as well. Here you can find a whole lot of adventure sports activities going on, throughout the year. One such is Paragliding, which is best done at the Kunjapuri region. Kunjapuri resides amidst the Shivalik ranges and overlooks the enthralling Gangotri and Swargarohini peaks. This makes paragliding here a wonderful treat to the eyes, especially at the time of sunset, when the peaks glisten in hues of yellow and orange. Fly free like a bird in the sky that's Paragliding for you."
47,rishikesh,Practice Silent Yoga,"Rishikesh is known as ‘Tapo Bhumi’ a place for meditation of the gods. On the banks of river Ganga and in the lap of the Himalayas, Rishikesh is home to various yoga ashrams. Most ashrams offer Yoga classes on classic yoga and meditation. Yoga teaching courses in Rishikesh are also offered in these ashrams.

Yoga is one of the philosophical schemes of India which unlocks the secrets of health and well-being. That is why Yoga retreats are also available in Rishikesh. Yoga retreats are described as contemporary version of Yoga ashrams. More and more people from all over the world visit the hub of yoga, Rishikesh, to indulge in the holistic belief of health and well-being. Settled away from the chaotic city life, Rishikesh has a number of premium yoga resorts. Parmarth ashram, Sivananda ashram, Sanskriti Yog Peeth and Phool Chatti ashram are the most popular ones."
48,rishikesh,Neer Gaddu Falls,"Neer gaddu waterfall is a famous waterfall for trekking in Rishikesh. It is 9 kms from Rishikesh railway station and can be visited directly from there. Neer gaddu or Neer garh waterfall is famous for small trekking in Rishikesh and is located on Rishikesh–Badrinath Highway. Neer gaddu waterfall location is hidden hence it can be reached by trekking.

It is a natural waterfall, flowing through natural rocky cliffs. The tourists are attracted to this place because of the adventurous trekking which involves walking through the jungle on narrow trails. Neer gaddu is a two tier waterfall with the second main pool bigger than the first one. You get to see variety of butterflies fluttering about which adds to the beauty of the waterfall."
49,rishikesh,Meditation - Finding Inner Peace,"Rishikesh is one of the popular destinations for spiritual awakening and tourist who visit here, tend to indulge in yoga and meditation schools or even go for Meditation teacher training. Meditation is a practice to train the mind to know our self spiritually. In Rishikesh, you can find various types of yoga and meditation courses conducted in the Rishikesh meditation and yoga ashrams.

Meditation is being awake inside without being aware of anything except awareness itself. Surrounded by the enormous Himalayan range and the holy river Ganga in Rishikesh, the peace and serenity is immensely present there. Rishikesh is the most suitable place for a meditation holiday and you can indulge in silent meditation, tantra meditation, etc. The best Rishikesh ashrams that you can visit are Patanjali International Yoga Foundation and Anand Prakash Ashram."
50,rishikesh,Garud Chatti Falls,"The Garud Chatti Waterfalls is hidden amidst the Rajaji national park forest, near the neelkanth road in rishikesh. The waterfall gets its name from the Garud Temple. Garud chatti waterfall is small but it is the main attraction for foreign tourists in the area.

Travellers generally trek down to the waterfalls after visiting the temples. This waterfall looks beautiful and photogenic during the monsoons when the water flows in from seven different directions. It is 4 kms from Lakshman Jhula which passes the view of the holy river Ganga. It is a pleasant place to visit and to spend a couple hours."
51,rishikesh,Lakshman Jhula,"Lakshman jhula is a rope bridge that lies suspended over river Ganga in rishikesh and connects Tehri and Pauri districts. A few temples surround it, one of which is the Trayambakeshwar Temple, famously known as tehra manzil temple which displays beautiful carved sculptures several Hindu Gods and Goddesses. 

Lakshman Jhula is one of the most popular tourist attractions of Rishikesh, located just 4 kms from the main town. There are local markets on both sides of the lakshman jhula, where you can buy some stuff such as incense sticks, Rudraksha mala, Hindu Gods and Goddesses idols, books on religious topics etc. The shops sell gems, handicraft items as well as jewelry. When you visit this bridge, go for sugary delights such as halwa, jalebi, meethi lassi etc."
52,rishikesh,Parmarth Niketan Ashram,"It is located close to Ram Jhula on the banks of Holy River Ganga. It is one of the best place to visit in Rishikesh. It is very well maintained and the ambience is very calm and peaceful.

The evening aarti in this place would provide you inner peace within yourself which is unexplainable."
53,rishikesh,Beatles Ashram,"Originally known as Maharishi Mahesh Yogi's Ashram, the Chaurasi Kutia ashram is famously known as The Beatles Ashram. The ashram came into limelight when the famous band 'The Beatles' came to India in 1968 and stayed at The Beatles Ashram, Rishikesh, to attend the advanced Transcendental Meditation training conducted by Maharishi Mahesh Yogi.

The Beatles Ashram location is full of greenery as the ashram is surrounded by the forest of Rajaji National Park, the beautiful Himalayan range and the holy river Ganga. The Beatles Ashram closed in 1998 but after the reopening, The Beatles Ashram Art Gallery was launched where the graffiti done by the Beatles and other tourists is still preserved. The Beatles Ashram is one of the must visit attractions in Rishikesh."
54,kathmandu,Boudhanath,"Boudhanath is a stupa in Kathmandu, Nepal. It is known as Khāsti in Nepal Bhasa, Jyarung Khashor in Tibetan language or as Bauddha by speakers of Nepali."
55,kathmandu,Budhanilkantha Temple,"The beautiful ancient temple with a stone image of the Lord Vishnu as Narayan, the creator of all life, sleeping on a coil of serpents(Seshnag)  He floats on the cosmic sea, represented as a small pond in surroundings. 

The sight of the gigantic lord sleeping on his back with a relaxed fold of the left leg and the four hands with shankh, chakra, gada and padma, and his beautiful chiseled face is a sight to behold.

Only Hindus can approach the statue to leave offerings of fruit and flower garlands, but visitors can view the statue through the fence that surrounds the sacred tank."
56,mount abu,Nakki Lake,"Nakki Lake the mythological lake with a very interesting story behind its creation is the heart of Mount Abu, the legend has it that this lake was dugg by Gods using their nails or nakh that's why the name Nakki Lake - few sections of local tribes also consider Nakki Lake as a holy lake and worship it, Nakki lake is also the only Indian artificial lake situated at a height of 1200 Mtr's above sea level."
57,mount abu,Guru Shikhar,"Gurushikhar holds the honor of being not only the highest peak of Mount Abu but the whole of Aravali mountain range, Situated at a height of 1722 meters from the sea-level, Gurushikar provides a breathtaking panoramic view of Mount Abu town and green aravali range."
58,mount abu,Dilwara Jain Temples,"Dilwara Jain Temples are one of the finest Jain temples known for  their extraordinary architecture and marvelous marble stone carvings. These temples were built between 11th to 13th century AD, The beautiful lush green hills surrounding the temples give a very pleasant feeling. The ornamental details of marble stone carvings are phenomenal and unmatched, The minutely carved ceilings and the pillars are just amazing."
59,lonar,Lonar Lake,"Lonar Lake is an extremely beautiful place famous for the Lonar crater and the lake formed due to a meteorite hitting the earth around 52, 000 years ago. This 6,000 feet wide and 500 feet deep lake is, therefore, an important source of scientific research and educational importance while Lonar crater is the world's only salt water lake in basaltic rock.

The area is also surrounded by a lot of flora and fauna which makes the place even more beautiful and it is the only salt water lake in the basaltic rock in the world. There is also a famous Gomukh temple located at the boundary of the lake where snakes and other animals like fox, mongoose and deer can be spotted. The serene beauty of the lake mesmerizes the tourists around while the scientific importance attracts the attention of science enthusiast."
60,lonar,Daityasudan Temple,"Daitya Sudan Temple is the mighty impressive temple which is located in the heart of the Lonar village. This ancient temple is dedicated to Lord Vishnu and belongs to the Chaitya Dynasty that ruled the region between the 6th and 12th centuries AD. The shape of the temple symbolizes an irregular star. 

The temple quite resembles to the popular Khajuraho temples constructed using a unique metal similar to that of a stone. This temple one of the best examples of Hemadpanti style of construction, the temple is built in the form of an asymmetrical star. Temple has wonderful erotic carvings and definitely reminds you about the exquisitely rich elaborated carvings of Badami or Pattadakkal, built by the mighty Chalukyas only. Detailed carvings which covered the entire surface of the temple, elaborates stories from the Puranas, great epics like Ramayana & Mahabharata, incarnations of various gods &amp; goddesses, Apsaras, Yakshas, Kinnaras and Kamasutras."
61,lonar,Kamalaja Temple,"Goddess Kamalaja Devi is an important shrine on the Lonar crater rim in Buldhana District. The temple faces in south direction. Navratri is the main festival celebrated here. This is at the south end of the Lake. Dedicated to Goddess Kamalaja, an incarnation of Goddess Shakti, and in this form she is believed to have helped Shiva in fighting Demon Tripurasura. 

Goddess Kamalaja Devi is worshipped on Tuesdays. Every year there is a festival held by the devotees. Kalamaja is a goddess dedicated to a tree named Kalamb and it is a local tribal goddess and many other stories are formed after the influence of Hinduism to this region. Temple is a composite of old and the new structures in the Nagara style of architecture. The serenity of the temple is interrupted only by the silent murmuring of the cool breeze and the occasional chirping of birds."
62,lonar,Lonardhar Temple,"Lonardhar temple is also known as Gomukh Temple depicts the

mythological stories about the formation of Lonar Lake. This is a Vishnu

temple built on the 1 foot wide water stream which falls into a 'Kund' constantly throughout the year. It’s the stream which was caused by impact of the main meteor. Source of stream and the rim is at much higher altitude than surrounding areas thereby making it another mystery.

The temple lies near the boundary of the water stream and is believed holy, by the devotees. Animals such as snakes, langurs, deer, foxes and mongoose can be spotted in the vicinity. A sight worth’s an alluring visit.  In the one the Kunda (tank) in the temple, there is an eternal water stream. The water stream is called as ‘Dhar’ and hence the temple is also named as ‘Dhar Temple’ and the Kunda in which the stream is channelized is called as ‘Dhar Kunda’ which is assumed by devotees to be holy. A sight worth’s an alluring visit."
63,dubai,Ski Dubai,"Ski Dubai is an indoor ski resort with 22,500 square meters of indoor ski area. It is a part of the Mall of the Emirates, one of the largest shopping malls in the world, located in Dubai, United Arab Emirates. A quad lift and a tow lift carry skiers and snowboarders up the mountain. Adjoining the slopes is a 3,000-square-metre Snow Park play area comprising sled and toboggan runs, an icy body slide, climbing towers, giant snowballs and an ice cave."
64,dubai,Burj Al Arab,"The distinctive sail-shaped silhouette of Burj Al Arab Jumeirah is more than just a stunning hotel, it is a symbol of modern Dubai. Yet for all the wonder this stunning structure provides when you finally see it in person, it is the service within that really makes the Burj Al Arab Jumeirah so extraordinary."
65,dubai,Dubai Museum,"Dubai Museum is the main museum in Dubai, United Arab Emirates. Dubai museum is one of the oldest building existing in the city. It also features galleries that recreate historic Arab houses, mosques, Souks, date farms and desert and marine life. It also includes an exhibit on pearl diving, with sets of pearl merchants’ weights, scales and sieves."
66,dubai,Adventureland Sharjah,"Adventureland - Al Itharah Amusement Center LLC is located in Sahara Centre, Al Nahda Interchange, Dubai-Sharjah Road. Adventureland is an indoor family entertainment center in United Arab Emirates. The center has an area of 70,000 square feet (6,500 m2), making it the largest family entertainment center in the Middle East."
67,dubai,Dubai Dolphinarium,"Dubai Dolphinarium is home to numbers of unique attractions in Dubai. These include the UAE's only dolphin show, seal show, exotic bird show & mirror maze."
68,dubai,Wild Wadi Water Park,"The Wild Wadi Water Park is an outdoor water park in Dubai, United Arab Emirates. Wild Wadi offers 30 rides and attractions for all the family. Wild Wadi is themed around the tale of Juha, a known character from the Arabian folklore."
69,dubai,The Dubai Mall,"The Dubai Mall is a shopping mall in Dubai. It is the world's second largest shopping mall based on total area behind the West Edmonton Mall, in Edmonton, Alberta, Canada and fourth largest by gross leasable area."
70,dubai,Grand Mosque,"Grand Mosque holds up to 1,200 worshipers. Non-Muslims are not allowed to enter the mosque, except the minaret from where photography is permitted. Dubai’s tallest minaret (70m high) lords over more than 50 small and large domes that give the city's largest mosque its distinctive silhouette. The mosque was originally a school devoted to study of the Qur'an, known as a kuttab, which welcomed its first students in the year 1900 to learn the Qur'an by rote"
71,dubai,Mall of Emirates,Mall of the Emirates is a shopping mall in Dubai. Developed and owned by Majid al-Futtaim Properties. When in Dubai it is a must go mall for shopping
72,dubai,Palm Jumeirah,"The Palm Jumeirah is an artificial archipelago in United Arab Emirates. It is one of three planned islands called the Palm Islands (Palm Jumeirah, Palm Jebel Ali and Palm Deira) which would have extended into the Persian Gulf. It is said to be one of the largest man made island."
73,chennai,Marina Beach,"Having the proud tag of India's second longest beach, the pristine sands are always buzzing shut activity. Right from the early break of sun to midnight, you can find people enjoying the beach with water lapping at their feet. Food vendors and balloon sellers can be seen in every nook and corner of the beach. 

The evenings in the beach are a lot of fun with people crowding around to enjoy the wind blowing on their face and playing around in the waters. You can revel in the beauty of the vast blue waters that go as far as the eyes can see. The beach offers various activities such as balloon shooting and horse riding. You can also see the resting places of the two late chief ministers of Tamil Nadu. A visit to Chennai remains incomplete without a trip to the marina beach."
74,chennai,Kapaleeshwar Temple,"A stunning piece of historical significance is the Kapaleeshwar Temple, the oldest structure of the then madras city. Located in the heart of the city, the area surrounding the temple is famous for the olden styled house architecture called as agraharams. It is one of the major temple attractions favoured by all pilgrims.
 
The presiding deity of the temple is Lord Shiva and you can see a number of Shiva devotees thronging the temple premises. The vast temple also houses beautiful sculptures of various other gods and also a huge water pond called as kulam. The vibrant lotus blooming in the pond are used as offerings to the Lord. The temple has a typical south Indian architectural style with a majestic and well sculpted gopuram adorning the temple's front. Every Shiva ratri festival is celebrated in a grand manner in the temple."
75,chennai,Elliot's Beach,"Forming the end point of the long stretch of Marina Beach, a significant landmark lined with an assortment of multi cuisine restaurants and fast food stops. The edge of the beach is famous for the prominent Ashtalakshmi temple which exceeds all expectations once more. It has an engaging combination of temples, churches and historical monuments.
 
Located at Besant Nagar it is one of the cleanest beaches in all of South India a favourite meeting spot for all youngsters. Fondly called as Bessi by the locals the beach soothes the soul and rejuvenates the mind. You can simply while away your time gazing at the vast expanse of water in front of you or have endless chats and catch up with your loved ones. It also satiates your taste buds with dishes ranging from sundal, bhajji to pizza steaks and burgers. It is popular as a favourite hangout spot."
76,chennai,Madras Crocodile Bank,"One of the largest reptile zoos in the world, the renowned Madras Crocodile Bank spread over a large area of lush green vegetation. It tops the list as one of the finest getaway spots for tourists and chennaities. It has the honour of being one of the largest crocodile breeding centres in the country.
 
The crocodile bank is the habitat of more than 7000 species of crocodiles and also acts as a centre for gaining knowledge and hands on experience with the inhabitants of the park. The park was created for the conservation of crocodiles and also houses a snake farm selling anti venom bottles. Located along the coastline the park serves as a sanctuary to many water birds and sea turtles. It is frequented by animal lovers and nature buffs and is a preferred destination for field trips and workshops. The park is a must visit place when you are in Chennai."
77,chennai,MGR Memorial,"A great and renowned political leader and a talented versatile actor, the late Chief Minister now rests peacefully in Marina Beach. A memorial structure built to honour the acts and services of MG Ramachandran is a renowned tourist attraction in Chennai. The memorial was renovated with two leaves and a mythological landscaping of the area around.

The memorial is surrounded with open areas of grass for kids to roll over, beautiful pathways, a splendid water fountain with the long stretch of Marina beach as the backdrop. The site attracts a huge crowd with its attractions and ardent MGR fans regularly visit the memorial to pay homage to the great leader. He was also posthumously honoured with the Bharat Ratna Award for his great deeds and actions. He is also fondly known as the Puratchi Thalaivar- a revolutionary leader by his followers."
78,majuli,Auniati Satra,"Famous for its Apsara and Paalnaam dance, this centre was founded by Niranjan Pathakdeva and features a wide collection of traditional Assamese utensils, jewellery and handicrafts. Old utensils, jewellery and handicrafts are also housed in the centre."
79,majuli,Dakhinpat Satra,"This was the chief satra patronized by the Ahom Ruler. This ancient educational centre is visited by thousand of devotees all throughtout the year. Rasotsava, a prime festival of Assam, is celebrated with great enthusiasm and passion here."
80,majuli,Kamalabari Satra,"Founded by Bedulapadma Ata, it is a centre of art, culture, literature and classical studies. The finest boats on the island are made here. It's branch, Uttar Kamalabari Satra, has showcased the Satria Art in several states of India and abroad."
81,jammu,"Ranbir Canal, Jammu","Ranbir canal is a great exotic place to explore in Jammu. It is a tranquil picnic site located just 2 km from the Jammu city. The canal becomes more appealing because of the beautiful gardens situated on the banks of the canal. There is a power house situated on the bank of the canal. Thus making this place important for students also. The colorful gardens provide excellent walkways and viewpoints of the surrounding areas.

Ranbir canal is the perfect picnic destination for local as well as the tourists. People from all walks of life are seen here. It is perfect place for young romantic couples and newly married couples. They are seen enjoying their relationships. Children are seen playing around and elder people are seen enjoying the walk through the gateways in the canal. It is perfect place to capture some great pictures. The best part about the canal is that the water in the canal remains ice cold even in the scorching summers."
82,jammu,Amar Mahal Palace,"The Amar Mahal Palace is a palace in Jammu which has now been converted into a Museum. Its structure was sketched by a French architect. It is made up of red sandstone.The palace has sloping roofs with turrets and tall towers as it is built in the European Castle Style.

The Amar Mahal Palace Museum has number of art galleries that displays Indian art and work of Indian artists in different fields. One of the greatest attractions is Dogra Gold Sofa weighing 120 kilograms of gold placed in a hexagonal room and bears the design of golden lions in it. A large collection of portraits of the royal families are also showcased in the museum. There is also a library with more than 25,000 books of literature, science, politics, and many more. One of the other attraction is the suite of Maharani Tara Devi where her clothes, bed and Victorian style bathroom can be viewed. Even the decoration crown of India is also on display which she obtained in 1945."
83,jammu,Bagh-e-Bahu,"Bagh-e- bahu is one of the most preferred places to visit in Jammu city. The Bagh-e- Bahu garden fills your eyes with everlasting scenic beauty and peaceful environment that is offered by sprawling lawns, beautiful gardens , majestic fountains that it has.

The top of the garden comprises of a huge artificial lake and garden that is filled with extensive lawns with green roots and grass. The bahu garden holds an attractive musical fountain show to attract visitors from all over the place. The Bagh e bahu garden has a 220 meters aquarium and it the largest underground aquarium in India.The aquarium also has a state of the art infrastructure , laboratory, conference hall , museum and public gallery. The entrance of the underground aquarium is designed in the shape of the mouth of fish and the exit in the shape of the fish tail. The aquarium gives the tourists an opportunity to revel in the exotic aquatic world."
84,jammu,Mubarak Mandi Palace,"One of the most attractive tourist attraction in Jammu is Mubarak Mandi Palace. The architecture of the palace is an elaborate blend of Mughal, Rajasthani and European art work in India. 

Mubarak Mandi Palace will leave you mesmerized with its beautiful architecture and great art work. Other than the beautiful antique buildings , the bows and arrows of Mughal Emperor Shah Jahan painted in gold also attracts people. The Dogra Art Museum is situated within the Pink Palace.The southern part of the complex is the Gol Ghar. Sheesh Mahal is the most eye-catching section of the complex displaying exotic glasswork architecture. One of other major attraction near the Mubarak mandi Palace is the Raghunath Bazar. It is one of the perfect shopping place in Jammu. Hotels near Mubarak Mandi Palace is also easily available."
85,jammu,"Bahu Fort, Jammu","The Bahu Fort is a famous tourist place in Jammu. It is a religious place in Jammu. Within the premises of Bahu Fort , there is a temple dedicated to the Hindu goddess Kali. The temple is also known as Bawe Kali mata Temple. The fort has historical importance and also architectural recognition. 

The thick walls of Bahu Fort are made up of sandstones and it has eight octagonal towers that enclosures to house guards. It is perfect place to if you want to experience something new in Jammu. The forest surrounding the fort has now been converted into a beautiful garden called Bagh-e- Bahu. The Mahakali temple is a renowned Shakti Temple. Some other attractions near the Bahu fort are the development of Cable Car and the development of lake for boating. A cable car ride in Jammu will definitely give you goose bumps. It is the most thrilling experience in Jammu."
86,jammu,Surinsar Lake,"Surinsar Lake is a popular picnic spot in Jammu. Surrounded by a thick layer of wooden mountain ranges , it is known for its beauty and mythological importance. The perimeter of this lake is surrounded by thick mangroves ,pine trees and beautiful gardens. The island in the middle is home to thousands of bats. The calming effect of the picturesque environment is nevertheless rewarding.

The enchanting flora and fauna are worth exploring near the lake. During summer season, visitors can find seemingly endless number of lotus flowers blooming on the surface of the lake. There are several restaurants and food joints near the place. The hours of downs and dusk are considered ideal for capturing awesome and stunning pictures. A bird sanctuary around the lake is a favorite among the bird watchers. If you are looking for boating and swimming in Jammu , this place is not for you as it is restricted due to religious beliefs."
87,jammu,Ranbireshwar Temple,"The biggest Shiva temple in north India, Ranbireshwar Temple is one of the prime attractions in the picturesque Jammu city. It is a very ancient shrine, located in Shalimar Road near the New Secretariat. Maharaja Ranbir Singh built it in 1883, dedicated to Lord Shiva.
 
The temple has a central `lingam` measuring 8-feet in height, constructed out of black stone, is the biggest in India. It was under the built of the Dogra rulers; also enshrining 12 shivlings in crystal, measuring 15cm to 38cm. Galleries with 1.25 lakh `bona lingam` brought from Narmada River, can be witnessed on stone slabs inside the temple. There are also mammoth images of Ganesha, Kartikeya and Nandi Bull."
88,jammu,Peer Kho Cave Temple,"Peer Kho is one of the cave temple in Jammu which is dedicated to Lord Shiva and enshrines a black Shiva Lingam. It is also known as the Jamavant Cave because of its historical importance. The shivling is also known as the Swayambhu Shivling. The perimeter of the temple is covered by thee acacia trees and the geology is based on the igneous rocks.

The Peer Kho Temple mainly comprises of two caves. Both of these caves are at a depth of about 20 to 30 feets from the ground level of the temple. Marble steps will lead you on to the first cave. It is not possible to cross the cave without bending. At the end of this cave tunnel there is a larger cave. The black colored Shiva Lingam is located on the focal point of this 12 feet high pentagonal shaped cave. The temple is full of activities during the Shivaratri festival. it is one of the place to visit during Maha Shivaratri in India and it experiences huge influx of devotees during this time."
89,jammu,Mahamaya Temple,"Mahamaya temple is an important place to visit in Jammu. The best thing about this temple is that it is not dedicated to any Hindu deity but to a local female freedom fighter who sacrificed her life to save her motherland. This temple is in the middle of the forest at the top of the hill. It provides a panoramic view of the whole Jammu city. 

Mahamaya temple is counted as one of the famous tourist spots in Jammu, even for the adventure seekers. If you want to experience a great bike ride in Jammu, then reach Mahamaya Temple by your own vehicle and enjoy the adventure. The climate near the temple is pleasant throughout the year and it offers you great scenic beauty and city views. The Mahamaya Temple is a perfect example of the power and strength of Indian women which is often underestimated. It is located just opposite to Bahu fort. If you are looking for sight seeing places in Jammu , this place is perfect for you."
90,mahabaleshwar,Elephant Head Point,Elephant's Head Point and Lodwick Point are among the highest points in Mahabaleshwar and are off the Poladpur-Mahabaleshwar Road. The parking for these points is located a kilometer away. One needs to take a gentle trek through the forest to reach these points.
91,manali,Rohtang Pass,"Residing in the eastern Pir Panjal range of the Himalayan mountains, Rohtang pass connects the Kullu valley to the twin valleys of Lahaul and Spiti. Rohtang pass remains open from May to November. It lies in the watershed between the basins of Chenab and Beas and provides dazzling views of the snow capped Himalayan mountains. 

Rohtang Pass permit needs to be applied for in order to take vehicles across the pass. It remains closed on Tuesdays for the purpose of maintenance. The tourist attraction becomes a hub for adventure snow sport such as skiing, snow scootering and mountain biking during the months of May and June. Marhi lies 16 km before Rohtang on the way from Manali to Rohtang. Its slightly more offbeat than Rohtang and is also cleaner, whiter and much heavier snow."
92,manali,Hidimba Temple,"Hidimba Temple is an ancient cave temple built in honor of Hidimbi Devi who was the wife of Bhim, one of the five Pandava brothers from the Indian epic Mahabharata. Built over a huge rock which was worshiped as an image of the deity, it is surrounded by cedar forest. It's a beautiful temple located at just 5 minutes drive from Mall road.

The unadorned walls of mud-covered stonework contrast with the wooden doorway, which is elaborately decorated with miniature depictions of goddesses, attendants, animals and stylized foliation. An isolated scene from a Krishna story appears on the beams above the doorway featuring female dancers called Navagrahas. The temple is also known for a fair that is held every year in Hindu month of Sravan (23 July-22 August) in the memory of Raja Bahadur Singh, who built the temple. The fair is popularly known as Bahadur Singh Re Jatar among locals."
93,manali,Sweet HomeStay in Old Manali,"Old Manali is not only known for tattooing, Manali Cream and backpacker cafes but also for its sweet and affordable homestays. There are plenty of options available here but most popular of all is the Seraj Homestay. People from far off lodge here just to get the experience of a homestay. 

These pleasant homestays provide all kinds of basic necessities with utmost hospitality. People working here are more than friendly and you feel like family. There’s a stark contrast between the food in these homestays and the food you find in cafes These pleasant homestays provide all kinds of basic necessities with amazing hospitality. People you meet here are more than friendly you will feel like family with them. The food you got to taste here is completely contrasting from the one you will get in a cafe or a restaurant."
94,manali,Solang Nala,"Solang Valley resides between Solang village and Beas Kund, surrounded by deodars and mountains. It offers a beautiful view of glaciers and snow capped mountains. It constitutes of giant slopes which makes it a popular a ski resort. 

The trek to Solang Nala starts from old Manali, passing through the villages of Goshal, Shanag and Burua and then finally ends by following a rocky trail to reach the spreading fields. When the snow starts melting, skiing is replaced by parachuting, zorbing, quad biking paragliding and horse riding. Ropeway, also known as the Gondola ride, is an alternative way of reaching the top. In winters, the valley becomes a skiing paradise with people of all ages slipping and sliding over the fresh white snow."
95,manali,Jogini Falls,"Jogini Falls harbours a stream that runs down to join the Beas river. The village worships the goddess Jogini, in honor of whom the falls have been named. The place is known as ‘Shakti Peeth’ and symbolizes female power. You have to trek for around 3 km from Vasisht temple to reach the fall. 

The trek starts from Vashishta temple, passing through the Vashishta village, apple orchids pine trees and small streams. This is gentle trek can be completed in two hours. Its one of the the best ways to experience the local scenic beauty and village life at Manali. The Vashisht temple and Jogini waterfall can be covered in less than a day. Take your packed lunch and enjoy the food at the base of the waterfall. The afternoon is better for photography as sunlight directly falls on the water droplets."
96,manali,Mall Road,"Mall Road is the social hub as well as the central commercial area of Manali. It is the heart of the city and hence most of the city’s major markets are located here. The bus terminals are also situated here. People can enjoy a lively stroll here or indulge in a little tourist-y shopping from the stores lining the streets.

Manali’s markets brim with cozy woolens to snuggle in on those chilly mountain nights. Popular buys include shawls, traditional Kullu hats and other assorted woolen items. Being a popular tourist spot, all kinds of local handicraft and trinkets can be found in the shops. Tibetan goods can also be spotted as a riot of colorful handicrafts, clothing and jewelry dotted all across the streets. A variety of restaurants and eating joints are also present here to keep the tourists sated."
97,manali,Paragliding,"Sailing the blue sky like the Himalayan Eagle can be extremely thrilling. Paragliding at Solang Valley gives you the exact experience and is one of the most exciting adventure sports in India. The activity can be a mix of skydiving and hang gliding. 

Paragliding is essentially hand gliding mixed with parachuting. It offers you a bird’s eye view of the surreal valley and hits you with a rush of adrenalin. In Kullu valley, Paragliding is organized throughout the year at Solang Nala, Marhi, Fatru, Bijli Mahadev etc. Rates may differ depending on the season and duration of the flight. The best time to enjoy the experience is between May ad September. Short flights lasting approximately 60-90 seconds are ideal for novices whereas for more  experienced pilots, long flights of about 20-30 minutes are perfect."
98,manali,Zorbing,"The Solang valley which is already famous for skiing and paragliding, also offer its visitors to enjoy a novel adventure zorbing. It is an inflatable pvc ball which contains another smaller ball that is suspended into position by thousand nylon strands of varying colours that is suitable only for grass covered slopes. Zorbing stops when snow covers the grass slope in winter.

Famous for its paragliding, Solang Nala also offers its visitors a novel adventure activity called Zorbing.

You can enjoy the view of the valley from every possible angle while rolling down the grassy slopes. It is a recreational sport which involves rolling down a slope inside an orb made of transparent plastic. A Zorb is an inflatable plastic ball containing another smaller ball that is suspended, by thousands of nylon strands of various colours, into the right position. Ideally carried out on gentle slopes, Zorbing can also be carried out in water."
99,manali,Rahalla Falls,"Rahalla Falls is a beautiful waterfall, at height of 8,500 ft. About 16 km from Manali at the start of the climb to the Rohtang Pass, at an altitude of 2,501 m.

Rehala Falls lies on the way from Manali to Rohtang Pass. Surrounded by a dense forest of birch and deodar trees, it showcases the snow capped Himalayan peaks in the background. Its formation is due to the result of melting glaciers. The fresh and aromatic air creates a sense of peace and relaxation. With an exhilarating view and serene environment, its a must see while on the way to Rohtang. It is approachable by bus, jeep or pony. Rahalla Falls is the highly good places to visit manali."
100,manali,Rafting,"Rafting in Rishikesh is one thing, rafting in Manali, in the icy cold waters of the river is another. 
Rafting in Manali is most enjoyable in Manali region if you are adventure lover! If you are looking for safe rafting in manali managed by expert rafting professionals in Manali, then get ready for some highly enthralling water sports in Beas River that offers a thrilling experience of Rafting in Manali, Himachal Pradesh. The river Beas is at its strongest here, and the rapids are ideal for a thrill rafting adventure. Best time to go white water rafting in Manali is June."
101,manali,Get Tattooed in Old Manali,"In the recent times, Manali is not only known for its scenic mountains or adventure sports but also for its growing appetite for tattooing. The youth and veterans alike are being lured by the calm and scenic ambiance of the surroundings.

Getting inked is a way of symbolizing one’s freedom and outlook on life. It is a way of asserting control over one’s body as well as a medium of expressing one’s emotions. It is as much of a spiritual journey as it is a physical one. Manali offers numerous locations where one can get artworks on their body while enjoying the serenity and spirituality of the surrounding mountains."
102,manali,Hampta Pass Trek,"If you are a first-time trekker and wondering for a trek then Hampta Pass is the best ideal trek for you. 

The unforgettable high moderate Himalayan adventure Hampta Pass Trek is based in the region of beautiful Himachal (Manali) at an altitude of 14100 ft. high. Hampta Pass trekking gives an amazing experience of exploring your life with special hues of nature. One gets an incredible view of rock faces, frosty valleys, thick pine forest, open meadows, adrenaline pumping waterway and pleasant as well as adventurous crossing areas.

Hampta pass trekking can be done in any season, but the best time to go for the trek is in between the months of August and October."
