,name,rating,image_link,packages,link,description,placeCodes,start,end,type
64,"  Yelagiri, Tamil Nadu ",3.6,https://www.holidify.com/images/tooltipImages/YELAGIRI.jpg,876.0,https://www.holidify.com/places/yelagiri/," Yelagiri adventure camp has recently been started by the Tamil Nadu government in order to promote adventure activities at the hill station. The endeavour to make Yelagiri an attractive tourist spot include, mountain climbing, trekking, hiking and even paragliding. The security and safety measures are state-of-the-art and adventure sports at Yelagiri are gaining huge recognition making it a top adventurous place in India. ",YELAGIRI,11,2,adventure
65,"  Patnitop, Jammu & Kashmir ",3.5,https://www.holidify.com/images/tooltipImages/PATNITOP.jpg,7000.0,https://www.holidify.com/places/patnitop/," With endless meadows and panoramic views of the snow-capped peaks of the Himalayas, Patnitop is a perfect place to experience nature at its picturesque best and widest. Winter months in Patnitop are marked by a number of skiing courses and setups coming up in the area. Given the modest and gentle slopes in Patnitop, it tends to be an ideal destination for skiing for people with no prior experience.
Madha Top (5-6 kms from Patnitop on the Sanasar Road) has good possibilities for all levels of skiing. ",PATNITOP,1,12,adventure
66,"  Varkala, Kerala ",4.2,https://www.holidify.com/images/tooltipImages/VARKALA.jpg,9000.0,https://www.holidify.com/places/varkala/," Varkala is a beautiful coastal town in Thiruvananthapuram district. It is the only place in Kerala where the hills come close to the sea. The uniqueness of the place is the merging of cliffs with the Arabian Sea. Varkala Beach is a popular beach where you can enjoy various water sports activities such as parasailing, paragliding and surfing. Several water sports operators are to be found along the beaches, and travellers can easily do a lot of water activities with good fun.  ",VARKALA,1,12,adventure
67,"  Diveagar, Maharashtra ",3.6,https://www.holidify.com/images/tooltipImages/DIVEAGAR.jpg,6520.0,https://www.holidify.com/places/diveagar/," Gleaming white sand, pristine blue water, swaying coconut palms and betel nut trees and gentle breeze producing a serene and calming effect, this is not a dream but the enchanting place called Diveagar. Jeep-towed parasailing is a major attraction in the small beach town of Diveagar. It is affordable and interesting, making for a great adventurous place in India.

 ",DIVEAGAR,10,3,adventure
68,"  Ananthagiri, Andhra Pradesh ",3.4,https://www.holidify.com/images/tooltipImages/ANANTHAGIRI.jpg,6520.0,https://www.holidify.com/places/ananthagiri/," Set amid the Eastern Ghats, Ananthagiri is a beautiful retreat where majestic hills in the backdrop flirt with clouds all the time. Given its terrain and sceneries, Ananthagiri is known for its trekking trails. With rivers cutting through its forest and a wide number of options available for adventure seekers, one can also enjoy camping in Ananthagiri.

 ",ANANTHAGIRI-HILLS,10,3,adventure
69,"  Pangong Tso Lake, Ladakh ",4.4,https://www.holidify.com/images/attr_square/2583.jpg,6520.0,https://www.holidify.com/places/ladakh/pangong-lake-sightseeing-2583.html," One of the most sought after road trips on anyone's list is one to Leh and Ladakh, and a must visit once you get to the most remotely located paradises there, is the Pangong Tso. Definitely the most popular, and one of the most beautiful lakes in India, especially after the movie 3 Idiots, this salt water lake, located at a height of about 4000 metres is a study in beauty. It creates a striking contrast against the white sand, and appears to change colors when seen from different angles in the sunlight and through various hours of the day. Sunset and sunrise are the best times during the day to witness the true beauty of the Pangong, complete against the picturesque rugged mountains.

 ",LADAKH,1,12,lakes
70,"  Dal Lake, Kashmir ",4.4,https://www.holidify.com/images/compressed/1815.jpg,6520.0,https://www.holidify.com/places/srinagar/dal-lake-sightseeing-3648.html," Dal Lake, one of the most beautiful lakes in India has been dubbed perpetually as 'Srinagar's Jewel' and remains one of the most popular tourist attractions in India. One of the most memorable experiences of those visiting here is the full day shikara ride, waking up and sleeping to the Azaan with the water just about to freeze and the water reflecting whatever shade the sun throws on it. The Dal experience is complete with a tour of the Mughal Gardens, like the Nishat Bagh and the Shalimar Bagh, the Chashme Shahi and the Hazratbal Shrine. ",SRINAGAR,1,12,lakes
71,"  Venna Lake, Mahabaleshwar ",4.3,https://www.holidify.com/images/compressed/4689.jpg,6520.0,https://www.holidify.com/places/mahabal/venna-lake-sightseeing-2706.html," On the way to Mahabaleshwar is the beautiful Venna Lake, which doubles up as a mini vacation spot ideal for some lazing around in the early morning. During the wee hours of the day, this gorgeous waterbody has the clearest undisturbed waters and a view to die for. Fresh local vegetarian produce is sold in the this area and if you're lucky enough to hitch a boat ride around, consider yourself lucky. ",MAHABALESHWAR,1,12,lakes
72,"  Vembanad Lake, Alleppey ",3.4,https://www.holidify.com/images/attr_square/1133.jpg,6520.0,https://www.holidify.com/places/alleppey/vembanad-sightseeing-1133.html," A lake in God's Own Country was bound to be one of the masterpieces of nature, right? Vembanad is Asia's longest lake, and quite possibly, the most beautiful lake in all of South India. On any evening that you wish to visit Vembanad, expect a view of back waters and coconut trees blended seamlessly like an oil painting into each other, regal looking houseboats drifting in the water and the sun setting into the horizon and lending a scarlet hue to the waters.

 ",ALLEPPEY,1,12,lakes
73,"  Chandratal Lake, Spiti ",4.2,https://static.panoramio.com/photos/medium/36041753.jpg,6520.0,https://www.holidify.comhttp://static.panoramio.com/photos/medium/36041753.jpg," Chandratal, literally translating into Moon Lake, gets its name from its crescent shape. A trip to Spiti remains incomplete without a visit to the beautiful yet offbeat Chandratal. It is located around 10 km from Kunzum Pass and is a delight for adventure seekers photographers and nature lovers, being one of the most beautiful lakes in India.

 ",,1,12,lakes
74,"  Chilika Lake, Orissa ",4.2,https://www.holidify.com/images/compressed/709.jpg,6520.0,https://www.holidify.com/places/puri/chilika-lake-sightseeing-3319.html," Chilika Lake, crowned as Asia's largest brackish water lagoon is sheltered in the heart of the coastal Odisha. Chilika is known as one of the most beautiful wetlands in the world because it inhabits a vast variety of birds. Chilika Lake shows tourists a mind boggling display of its avian charms in a million different colors and varieties presented by around 160 species in the peak season between November and February. ",PURI,1,12,lakes
75,"  Lake Pichola, Udaipur ",4.6,https://www.panoramio.com/photo/53870488,6520.0,https://www.holidify.com/places/udaipur/lake-pichola-sightseeing-3844.html," Pichola lake is a crown jewel in the Royal city of Udaipur. Watching the sunset from the pier, or taking a boat ride around the lake are some of the small and sweet experiences of the trip to Udaipur. No wonder, Udaipur has been termed as one of the most romantic destinations in India. The lake has four islands on it, Arsi Vilas, which is a bird sanctuary and was previously an ammunition depot, Jag Mandir, Jag Niwas and the Mohan Mandir, from where the King saw the Gangaur festival. Sunset is the best time to visit this place for a breathtaking view and serene surroundings that it has to offer. ",UDAIPUR,1,12,lakes
76,"  Sattal, Uttarakhand ",3.2,https://www.holidify.com/images/bgImages/SATTAL.jpg,6520.0,https://www.holidify.com/places/sattal/," A beautiful freshwater lake located just in the foothills of the Himalayas and a home to the migratory Himalayan birds, Sattal is a gem hidden in the deeply mysterious oaks and pines and a lesser known getaway in Uttarakhand state of India. The seven interconnected lakes are located at a height of about 1370 metres and regular visitors advise a full boat ride around the lake to soak into the peaceful environs. The names of these seven water-bodies are: Ram Tal, Lakshman Tal, Sita Tal, Nal Damyanti Tal, Panna Tal, Purna Tal and Sukha Tal. One of the more interesting facets is the wide variety of fishes and birds see around this place, especially the rare migratory birds, hence making it a popular spot for birdwatchers as well. Sattal is just 33 km from Kathgodam and Kathgodam is nicely connected by trains with rest of the country. There is a good road connectivity as buses and taxis are easily available for one to reach Sattal from Delhi. ",SATTAL,4,12,lakes
77,"  Berijam Lake, Kodaikanal ",4.3,https://www.holidify.com/images/attr_square/2390.jpg,6520.0,https://www.holidify.com/places/kodaikanal/berijam-lake-sightseeing-2390.html," Truly one of the most memorable southern Indian travel experiences, a trip to the beautiful Berijam Lake is something that will be etched in your heart for a long time to come. About 25 kms long drive into the wilderness, this place is one of the most preserved and maintained water bodies of South India. You need to obtain a permit to be at this place, and without any typical tourist shenanigans like souvenir shops or food outlets, it is a nature traveller's paradise. With much of the water surface covered in lilies and porpcupines nestling in the bushes and a lot of animal watching to do, Berijam is where you want to be if the silent call of nature beckons you. ",KODAIKANAL,1,12,lakes
78,"  Manasbal Lake, Anantnag ",3.1,https://www.holidify.com/images/attr_square/6205.jpg,6520.0,https://www.holidify.com/places/anantnag/manasbal-lake-sightseeing-6205.html," Closely flanked by villages on three sides, Manasbal  is one the lesser frequented tourists spots, and a hidden gem in the northern-most state of India. During the months of July and August, multitudes of lotus flowers bloom on the periphery of the waterbody and when viewed against the clear waters, have an instantly mellowing and calming effect. A true birdwatcher's delight, the lake has to offer something to a nature lover at all times of the year. The seasonally appearing birds, and the permanent resident birds are all a part of the most diverse range of birds that the state sees throughout the year. One of the bonus attractions nearby is the Mughal Garden which was erected by the empress Noor Jahan and to date is as resplendent as when it was created. ",ANANTNAG,1,12,lakes
79,"  Hussain Sagar Lake, Hyderabad ",4.3,https://www.holidify.com/images/attr_square/2044.jpg,6520.0,https://www.holidify.com/places/hyderabad/hussain-sagar-lake-sightseeing-2044.html," The Hussain Sagar Lake has often been dubbed as the pride of Hyderabad, for being a perfect mini vacation spot for people of all ages and also because of its perfect maintained and tourist friendly locales. Located in Hyderabad, it is one of the most popular and beautiful lakes in India. The statue of Buddha was carved from a single marble boulder, and it took 200 artists about 2 years to complete. A boat ride is a must to see the statue from up close. A complete tourist package, the laser show in the evening is when the lake's beauty is at its peak.
 ",HYDERABAD,1,12,lakes
80,"  Upper Lake, Bhopal ",3.6,https://www.holidify.com/images/compressed/1552.jpg,6520.0,https://www.holidify.com/places/bhopal/upper-lake-sightseeing-1379.html," A beautiful man-made lake built in the 11th century, the Upper lake was constructed by Raja Bhoj to cure skin diseases which were otherwise incurable. It is a splendid spot with an attractive royal garden called Kamla Park in the vicinity. ",BHOPAL,1,12,lakes
81,"  Tamdil (Tam Lake), Aizawl ",3.7,https://www.holidify.com/images/cmsuploads/square/3025392150_6d9febb543_o_20180816104614.jpg,6520.0,https://www.holidify.com/places/aizawl/tamdil-tam-lake-sightseeing-1080.html," A perfect spot for a camping and bonfire night out in the east, the Tam Dil is about 6-8 hours away from the Aizawl and is a serene spot for frequent travellers. A popular fishing and picnic spot for the locals and tourists alike, Tam Dil is the definitely one of the most beautiful lakes in India. Tam dil is located close to Kolasib, another popular town in Mizoram. Local folklore attributes a rather unusual tale to the origins of Tam Dil. It was believed that a woman whose husband had passed away, asked her to take care of this conspicuously large mustard plant growing right in the middle of their crop. When the woman remarried, the second husband did not approve of having any reminder of the former husband and pulled out the plant from its roots. The lake is said to have slowly spurted and grown from the very spot the plant was pulled out from.  ",AIZAWL,1,12,lakes
82,"  Wular Lake, Srinagar ",3.8,https://www.holidify.com/images/attr_square/3662.jpg,6520.0,https://www.holidify.com/places/srinagar/wular-lake-sightseeing-3662.html," One of the richest waterbodies in the state in terms of history and culture, Wular is also one of the largest freshwater lakes in India and Asia. The best way to make in the most out of this experience is to stay in the local homestays in the village by the side of the lake, when one is on an extended vacation. Due to environmental concerns, Wular is a dying lake in India, but the state's initiatives to salvage it are showing positive effects. A rich variety of birds and fishes are seen at this place, out of which, the fishes found here are the chief suppliers of the state's demand.

 ",SRINAGAR,1,12,lakes
83,"  Renuka Lake, Nahan ",3.7,https://www.holidify.com/images/attr_square/5387.jpg,6520.0,https://www.holidify.com/places/nahan/renuka-lake-sightseeing-5387.html," Located just 38 kilometres away from Nahan, the Renuka Lake is the perfect place to visit for people who are into nature and the solace it offers. Unlike other lakes in the area that is famous for their pristine beauty and surroundings, the Renuka Lake is renowned for its cultural history. Not only is this the largest natural lake in Himachal Pradesh regarding area (the lake covers a circumference of about 3214 meters); this fantastic water body is shaped in the form of a reclining woman, and hence is considered to be a personification of the Goddess Renuka. Other than its cultural and religious significance, the lake also offers breathtaking views to visitors who reach the ridge of the lake after passing through dense alpine forests. ",NAHAN,1,12,lakes
84,"  Rewalsar Lake, Mandi ",4.1,https://www.holidify.com/images/attr_square/5243.jpg,6520.0,https://www.holidify.com/places/mandi/rewalsar-lake-sightseeing-5243.html," Rewalsar Lake is a spot of high spiritual importance. Situated 25 km from Mandi, this place is well known for its seven floating islands. It is believed that an act of penance was held by Lomas Rishi here and Lord Shiva impressed by his devotion gave him seven floating islands as reward. ",MANDI,1,12,lakes
85,"  Tsongmo Lake (Changu Lake), Sikkim ",3.6,https://www.holidify.com/images/compressed/5677.jpg,6520.0,https://www.holidify.com/places/gangtok/tsongmo-lake-sightseeing-1832.html," Imagine a paradise in the middle of mist laden hills with just the right amount of sunshine shining through it and lands barren of fresh vegetation but filled with some slow creeping plants and dotted with the most hospitable people in the city. That is just one way to describe how your experience at the Changu lake could be. One of the most beautiful akes in India, Changu is also known as Tsongmo among the locals. On the way to the Nathu La Pass on the India China border, it is a bit difficult to reach owing to the tough terrain, but the drive is worth it. For souvenirs, one can get dressed up in traditional attire and get photographed with the yaks, but not without bargaining. ",GANGTOK,1,12,lakes
86,"  Sumendu Lake, Mirik ",3.5,https://www.holidify.com/images/attr_square/5319.jpg,6520.0,https://www.holidify.com/places/mirik/the-mirik-lake-sightseeing-5319.html," The most prominent place in Mirik, The Sumendu Lake is beautiful, calm and yet invigorating. The lake also has an 80 foot bridge running over it for people who don't wish to walk around it. ",MIRIK,1,12,lakes
87,"  Saputara Lake, Saputara ",3.4,https://www.holidify.com/images/attr_square/5817.jpg,6520.0,https://www.holidify.com/places/saputara/satpura-lake-sightseeing-5817.html, A beautiful and serene known for boating and the lush green and colourful garden on both sides of it. It is best visited in the morning for walks to enjoy some peaceful time. ,SAPUTARA,1,12,lakes
88,"  Punganur Lake, Yelagiri ",3.5,https://www.holidify.com/images/attr_square/6187.jpg,6520.0,https://www.holidify.com/places/yelagiri/punganur-lake-sightseeing-6187.html, The Punganoor Lake is one of the most popular artificial lakes in Tamil nadu. The man made lake covers nearly 60 sq. meters of land. There is also a fountain in the middle and boating facilities are available. ,YELAGIRI,1,12,lakes
89,"  Naini Lake, Nainital ",4.4,https://www.holidify.com/images/compressed/663.jpg,6520.0,https://www.holidify.com/places/nainital/naini-lake-sightseeing-3006.html," A pretty lake that once a European man fell in love with, Naini Lake today serves as a major tourist spot for people from all over the country. ",NAINITAL,1,12,lakes
90,  Ooty Lake ,4.4,https://static.panoramio.com/photos/medium/32821309.jpg,6520.0,https://www.holidify.com/places/ooty/ooty-lake-sightseeing-3097.html, Ooty Lake stays in the heart of Ooty with its L shape construction. It is the best place for boating and the summers are primly wonderful. Several boat races are organized and people have an amazing time relishing the sport and festive feeling. ,OOTY,1,12,lakes
91,"  Sukhna Lake, Chandigarh ",4.3,https://www.holidify.com/images/compressed/553.jpg,6520.0,https://www.holidify.com/places/chandigarh/sukhna-lake-sightseeing-1528.html," Nestled at the foothills of Shivaliks, Sukhna Lake is a beautiful lake set amid the picturesque surroundings. Quite popular amid the locals and visitors, the place is a perfect destination for solitude seekers. ",CHANDIGARH,1,12,lakes
92,  Tso Moriri Lake ,4.3,https://www.holidify.com/images/compressed/4656.jpg,6520.0,https://www.holidify.com/places/ladakh/tso-moriri-lake-sightseeing-2589.html," The lesser known of the many lakes within the Changtang Wildlife sanctuary, Moriri Tso lake is twin to the Pangong Tso Lake. Located inside the Changtang wildlife sanctuary, this lake offers a scenic place of peace and tranquility. The water body measures about 28 km in length from north to south and about 100 feet average in depth. The lake is surrounded by barren hills, with the backdrop of beautiful snow-covered mountains. Since Moriri Tso lake is the lesser known of the two lakes, the crowd frequency is less too. Pangong lake always has many more people, and is now crowded with little stalls that sell Maggi and tea. ",LADAKH,1,12,lakes
93,"  Gurudongmar Lake, Sikkim ",4.2,https://www.holidify.com/images/compressed/4819.jpg,6520.0,https://www.holidify.com/places/north-sikkim/gurudongmar-lake-sightseeing-3067.html," Among the list of most beautiful lakes in India, Gurudongmar lake is an exotic, yet unexplored place in the northern part of Sikkim. One of the highest lakes in the world, Gurudongmar is located at a height of 5,210 metres above sea-level. It is among the top 15 highest lakes in the world and is the second highest lake in Sikkim as well as in India (the first being Cholamu lake at a height of 18000 ft, also located in Sikkim). Associated with few mythological stories as well, Gurudongmar has religious values as well. One can reach Gurudongmar from Lachen in Sikkim via Thangu.

 ",NORTH-SIKKIM,1,12,lakes
94,"  Fateh Sagar Lake, Udaipur ",4.4,https://www.holidify.com/images/cmsuploads/compressed/22809330353_510177c130_b_20170521144350.jpg,6520.0,https://www.holidify.com/places/udaipur/fateh-sagar-lake-sightseeing-3838.html," Lying to the north-west of the 'City of Lakes' Udaipur, this is one of the four lakes in the city and the second artifcial one. It is a major tourist attraction where people flock to enjoy boating on the surreal blue waters and look at the scenic beauty. Apart from boating, it has a lot to offer in terms of water sports. It spans over a length of 2.4 km and during monsoons, it covers an area of 1 sq km. ",UDAIPUR,1,12,lakes
95,  Nakki Lake ,4.3,https://www.holidify.com/images/compressed/4728.jpg,6520.0,https://www.holidify.com/places/mount-abu/nakki-lake-sightseeing-2851.html," If offbeat travel is your forte, then Nakki, one of the most beautiful lakes in India should be definitely among your travel wishlist. The Raghunath Temple and Maharaja Jaipur Palace are a must visit when going to Nakki Lake. You must also visit he Dilwara Jain temples while you're here in Mount Abu. This lake in India is said to have been dug out using human nails and is a major attraction in Mount Abu. This place is also known for having the huge toad sculpture made completely of stone on one corner, which appears to be jumping into the water.

 ",MOUNT-ABU,1,12,lakes
96,  Pushkar Lake ,4.3,https://www.holidify.com/images/compressed/2270.jpg,6520.0,https://www.holidify.com/places/pushkar/pushkar-lake-sightseeing-3332.html," Perhaps one of the major tourist destinations in India which attracts both Indians and foreigners equally, Pushkar lake is situated in Rajasthan. It is also regarded as a sacred lake for the Hindus. Pushkar Lake is surrounded by 52 bathing ghats where pilgrims throng in large numbers to take a sacred bath around Kartik Poornima. ",PUSHKAR,1,12,lakes
97,"  Parashar Lake, Himachal Pradesh ",4.1,https://www.holidify.com/images/compressed/3243.jpg,6520.0,https://www.holidify.com/places/mandi/parashar-lake-sightseeing-5241.html," Prashar, on the first sight, appears to be a blue mirror fixed into the lush green expanse around it. With a decent amount of mysticism linked to it, the lake is said to have an undetermined depth, and also an island floating in the middle of it. Just about 50 kms away from the town Mandi, Prashar is a moderately popular tourist spot, but one of the most beautiful lakes in India. Right next to it, is a pagoda like temple dedicated to Sage Parashar worth the pit stop and some interesting myths about the waterbody. ",MANDI,1,12,lakes
98,  Ashtamudi Lake ,4.1,https://www.holidify.com/images/cmsuploads/compressed/8338034981_564749a77b_b_20170424123208.jpg,6520.0,https://www.holidify.com/places/kollam/ashtamudi-lake-sightseeing-5023.html, Ashtamudi Lake has been recognized as the second largest lake in Kerala. It runs over a length of 16 km and covers almost 30% of the town of Kollam. The name Ashtamudi has been derived from the fact that the lake has eight branches since Ashta means eight and Mudi mean branch. All eight branches converge into a single channel and fall into the Arabian sea. Kallada river is the major river which releases out in the Ashtamudi lake. Coconut and palm trees surround the place adding to its beauty. ,KOLLAM,1,12,lakes
99,  Pulicat Lake ,4.1,https://www.holidify.com/images/compressed/3518.jpg,6520.0,https://www.holidify.com/places/nellore/pulicat-lake-sightseeing-5498.html," Lying at the boundary of the states of Andhra Pradesh and Tamil Nadu, Pulicat Lake is the second largest lagoon in the country. This fantastic destination is a natural beauty and also serves as an asylum for birds under the name of Pulicat Bird Sanctuary. The lake is separated by the Bay of Bengal by the barrier island of Sriharikota, which is also a rocket launching centre. Lying in the midst of scintillating virgin charms and cutting edge technological hotspot, the Pulicat Lake has something for everyone. ",NELLORE,1,12,lakes
100,"  Loktak Lake, Manipur ",4.3,https://www.holidify.com/images/compressed/412.jpg,6520.0,https://www.holidify.com/places/imphal/loktak-lake-sightseeing-2085.html," If backpacking to distant and quieter locations is your thing then, Loktak is just where you should be for your next vacation. Just about an hour away from the city, the Loktak Lake in north eastern India is one of the most pristine and unaltered water bodies. The floating islands exclusive to this waterbody, also called Phumdis are inhabited and known to change shapes and locations at all times during the year. For a serene retreat from the loud city life, Loktak is where you want to be. ",IMPHAL,1,12,lakes
101,"  Rabindra Sarovar, West Bengal ",3.3,https://www.holidify.com/images/compressed/4600.jpg,6520.0,https://www.holidify.com/places/kolkata/rabindra-sarovar-sightseeing-2432.html," The erstwhile Dhakuri lake is an artificial tank spread over 75 acres and is home to various migratory birds from Siberia and Russia. The lake is surrounded by gardens, children's park an auditorium, making it a popular recreational spot perfect for idyllic picnics. ",KOLKATA,1,12,lakes
102,"  Suraj Tal Lake, Spiti ",3.5,https://www.holidify.com/images/attr_square/3615.jpg,6520.0,https://www.holidify.com/places/spiti/suraj-tal-lake-sightseeing-3615.html," Just below the Baralacha pass, is a lake, one should not moss while here, especially if they are into photography. The Suraj Tal, is one of the most dream-like and photogenic lakes.

The sheer beauty of this place is enough to make the drive seem worth the effort. The lake is fed from the glaciers of Baralacha La and the area around makes for a great trek and biking tour. The lake is at a distance of around 65 kms. from Keylong. ",SPITI,1,12,lakes
103,  Goa ,4.5,https://www.holidify.com/images/bgImages/GOA.jpg,5154.0,https://www.holidify.com/places/goa/," When you think of Goa, you think of sandy beaches, amazing parties, beautiful little villages, delicious food, and a magical holiday experience. Yes, Goa is rightfully known as the most popular tourist destination on the West Coast of India, and not just because of its scenic beaches, but also because of its tropical climate and its rich Portuguese heritage, which you can still find lingering on in some parts of the town. Nestled in the Konkan Coast Belt, Goa has a coastline stretching for over a 100 kilometres and attracts millions of visitors both from within and outside the country all year round. ",GOA,10,3,beach
104,  Andaman & Nicobar ,4.5,https://www.holidify.com/images/bgImages/ANDAMAN-NICOBAR-ISLANDS.jpg,8850.0,https://www.holidify.com/places/andaman-nicobar-islands/," Lagoons of crystal clear water and scenic beaches topped with a little bit of history make Andaman and Nicobar one of the most perfect choices for an enjoyable, laid-back holiday where you can go on long treks, laze around in the backwaters of the island, or if you're feeling a little more adventurous, even go for a bit of deep sea diving. From the pristine, untouched beaches of Neil and Havelock Islands to the bustling town of Port Blair, the Andamans have something to offer to every tourist. ",ANDAMAN-NICOBAR-ISLANDS,10,6,beach
105,"  Varkala, Kerala ",4.2,https://www.holidify.com/images/bgImages/VARKALA.jpg,9000.0,https://www.holidify.com/places/varkala/," Popular for its natural fisheries and springs, and the samadhi of Kerala's saint Sree Narayana Guru, Varkala is a coastal town with pristine beaches, hills, lakes, forts and lighthouses - all of this together makes this town a little paradise located on the uniquely formed Cenozoic sedimentary cliffs in Kerala. ",VARKALA,1,12,beach
106,"  Kovalam, Kerala ",4.2,https://www.holidify.com/images/bgImages/KOVALAM.jpg,7500.0,https://www.holidify.com/places/kovalam/," An idyllic village along the coastlines of the Arabian Sea, Kovalam is most famous for its three pristine beaches with shallow waters and low tidal waves where one can go surfing, wooden and motorboat riding.The beach town of Kovalam has three famous beaches - Lighthouse beach, Samudra beach and Hawah beach, which together form its majestic rocky crescent. Kovalam essentially means a ?grove of coconut trees? and the little town is filled with these palms. ",KOVALAM,9,3,beach
107,"  Gokarna, Karnataka ",4.2,https://www.holidify.com/images/bgImages/GOKARNA.jpg,129.0,https://www.holidify.com/places/gokarna/," With its pristine beaches and breathtaking landscapes, Gokarna is a Hindu pilgrimage town in Karnataka and a newly found hub for beach lovers and hippies. ",GOKARNA,1,12,beach
108,"  Kashid, Maharashtra ",3.9,https://www.holidify.com/images/bgImages/KASHID.jpg,6520.0,https://www.holidify.com/places/kashid/," A Beach town, popular for its white sand and blue seas situated in Konkan region of Maharashtra, Kashid is the perfect destination for a quiet weekend getaway from Mumbai. ",KASHID,10,3,beach
109,"  Alibag, Maharashtra ",3.7,https://www.holidify.com/images/bgImages/ALIBAG.jpg,6520.0,https://www.holidify.com/places/alibag/," A little coastal town tucked away in the Konkan region of Maharashtra, Alibaug is a very popular weekend getaway holiday destination and has earned itself the name of 'mini-Goa', owing to the high tourist footfall all year round. Steeped in colonial history, Alibaug is a quaint little town located about 110 kilometres from Mumbai, and is replete with sandy beaches, clean unpolluted air and plenty of forts and temples, ensuring that despite being a small town, you never run out of activities to do. ",ALIBAG,11,3,beach
110,"  Kanyakumari, Tamil Nadu ",3.6,https://www.holidify.com/images/cmsuploads/compressed/kanyakumari_20180226140409.jpg,6768.0,https://www.holidify.com/places/kanyakumari/," Located at the southernmost tip of the Indian peninsula, Kanyakumari is a coastal town in the state of Tamil Nadu. Earlier known as Cape Comorin, Kanyakumari is surrounded by mountains and bordered by vibrant sea shores, lined with paddy fields and coconut trees, and also boasts of aesthetic elevated patches of hills with undulating valleys and plains in between the sea and the mountainous terrain. Ever since ancient times, Kanyakumari has been one of the major centres of religion, art and culture. Famous for being the only place in India where you can observe the sunrise and sunset at the same beach, Kanyakumari is a very popular tourist destination, not just because of this unique geographical phenomenon, but also because of its pristine beaches as well as its temples and churches which attract a huge number of tourists to this city all year round. ",KANYAKUMARI,10,2,beach
111,"  Alappuzha beach, Alleppey ",4.3,https://www.holidify.com/images/attr_square/1123.png,6520.0,https://www.holidify.com/places/alleppey/alappuzha-beach-sightseeing-1123.html," Alappuzha is referred to as the Venice of the East which has always enjoyed an important place in the maritime history of Kerala. Presently it is famous for its boat races, backwater holidays, beaches, marine products and coir industry. Alappuzha beach is a popular picnic spot. The pier, which extends into the sea here, is over 137 years old. Entertainment facilities at the Vijaya Beach Park add to the attraction of the beach. There is also an old lighthouse nearby which plays a fascinating sight to the visitors from far and wide. ",ALLEPPEY,1,12,beach
112,  Palolem Beach ,4.4,https://www.holidify.com/images/cmsuploads/compressed/attr_73_20190710110545.jpg,6520.0,https://www.holidify.com/places/goa/palolem-beach-sightseeing-1860.html," Palolem Beach, located in the South Goa is one of the most beautiful beaches of the Union Territory has to offer. Mostly unspoiled, the beach is often flocked with foreign tourists. ",GOA,1,12,beach
113,"  Colva Beach, Goa ",4.4,https://www.holidify.com/images/attr_square/1850.jpg,6520.0,https://www.holidify.com/places/goa/colva-beach-sightseeing-1850.html," One of the most happening beaches in South Goa, Colva beach is mainly renowned for its shopping and phenomenal nightlife. The beach is full of shacks and eating joints. ",GOA,1,12,beach
114,"  Kollam, Kerala ",3.3,https://www.holidify.com/images/bgImages/KOLLAM.jpg,6520.0,https://www.holidify.com/places/kollam/," Steeped in rich past, entangled with unique culture and attributed with nature divine, Kolam lies on the southwest coast of India and has many more hidden treasures troves to be explored. It is one of the oldest ports in Arabian Sea bustling with the activities since the time of ancient Rome. ",KOLLAM,9,2,beach
115,"  Mandvi Beach, Bhuj ",4.2,https://www.holidify.com/images/attr_square/6222.jpg,6520.0,https://www.holidify.com/places/bhuj/mandvi-beach-sightseeing-6222.html," Mandvi beach in Bhuj is one of those places that one must visit when on the northwestern coast of India for its beautiful, idyllic serenity. ",BHUJ,1,12,beach
116,"  Kudle Beach, Gokarna ",4.3,https://www.holidify.com/images/attr_square/1886.jpg,6520.0,https://www.holidify.com/places/gokarna/kudle-beach-sightseeing-1886.html," This is one of the most famous tourist spot, located around 20-minutes (walking distance) away from Gokarna. Here travelers will get a number of simple huts and beach-side eating places where one can enjoy lots of things. A kilometers-long pure white sandy beach surrounded by palm trees is the major attraction of this beach that attracts large number of travelers. ",GOKARNA,1,12,beach
117,"  Om Beach, Gokarna ",4.4,https://www.holidify.com/images/attr_square/1890.jpg,6520.0,https://www.holidify.com/places/gokarna/om-beach-sightseeing-1890.html," Famous for being naturally shaped like the auspicious symbol Om, Om beach attracts tourists round the year. ",GOKARNA,1,12,beach
118,  Lakshadweep Islands ,4.1,https://www.holidify.com/images/bgImages/LAKSHADWEEP-ISLANDS.jpg,6520.0,https://www.holidify.com/places/lakshadweep-islands/," Literally meaning a 'hundred thousand islands', Lakshadweep has few of the most beautiful and exotic islands and beaches of India. ",LAKSHADWEEP-ISLANDS,9,5,beach
119,"  Radhanagar Beach, Andaman & Nicobar islands ",3.0,https://www.holidify.com/images/cmsuploads/compressed/RadhanagarBeach_20180329124030.jpg,6520.0,https://www.holidify.com/places/andaman-nicobar-islands/radhanagar-beach-sightseeing-120770.html," With its turquoise blue waters and powdery white sands, Radhanagar Beach repeatedly features on lists of globally ranked beaches, rated Asia's best beach in 2004 by TIME Magazine. This pristine beach finds its place on the much-adored Havelock Island, a tourist's paradise and the largest of the islands present in this series of water-locked land masses. ",ANDAMAN-NICOBAR-ISLANDS,1,12,beach
